도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000607,방배로42길,42662,19694,22968,3125,6451,8108,9495,7490,7995
000608,방배로6길,923,434,489,71,202,194,130,150,176
000609,방배천로4안길,60376,26062,34314,3799,13440,12447,10012,9861,10817
000610,방울내로7길,38702,17900,20803,4028,8555,8913,7215,5506,4485
000611,방학로6길,178149,90263,87887,9574,31781,31939,35197,38708,30952
000612,방화동로5길,1502,647,855,57,516,336,177,245,171
000613,백범로16길,62805,34682,28123,7044,21770,9656,9675,8212,6448
000614,백범로17길,24924,13131,11793,3512,10669,3074,2873,2800,1997
000615,백범로25길,66780,34433,32348,4760,13788,14925,13856,11056,8395
000616,백범로26길,6321,3274,3047,1215,1288,1322,1074,901,521
000617,백범로77길,18781,10334,8448,685,4626,4866,3845,2153,2606
000618,백범로87길,22134,11445,10689,447,5086,6984,4885,2801,1931
000619,백범로90다길,93359,47266,46094,3422,22324,28159,17384,12853,9218
000620,백범로90라길,16735,8742,7993,304,3924,5400,3500,2182,1426
000621,백석동길,6874,3098,3776,237,1650,1347,1405,1325,910
000622,백제고분로12길,17974,7550,10424,311,3862,4702,1881,3715,3502
000623,백제고분로18길,13398,8254,5144,88,4672,3773,1873,1594,1399
000624,백제고분로19길,105367,53935,51432,7662,22898,24642,18070,16717,15378
000625,백제고분로21길,77925,38748,39177,6246,16028,19443,14424,13214,8571
000626,백제고분로27길,158104,79735,78370,9905,34020,39560,27244,26051,21325
000627,백제고분로31길,70016,33547,36469,2904,15634,19116,12140,10672,9551
000628,백제고분로32길,176783,92224,84559,7242,40233,46183,32480,26617,24028
000629,백제고분로34길,53968,29463,24505,2113,11719,14337,8800,8949,8048
000630,백제고분로39길,85485,40658,44827,2378,20433,20945,14076,14042,13611
000631,백제고분로40길,112145,57640,54505,6313,23068,23780,19637,22015,17332
